Compte,Libelle,Cpte_Ppal,Etat_Passif,Etat_Actif,Passif,Actif,Sens,CpteFinEnc,CpteFinEnc2,Bal_Entree,Recette_Budgetaire,Depense_Budgetaire,Recette_Fiscale,Section_Budget,Origine_Recette,Section_Budget_Tri,Acteur_Tresor,Acteur_Impot,Acteur_Autres,DetailsPlus,DansDetail,Libelle2,Situation_Tresorerie,Rang
"182","Dettes liées aux comptes de liaison",1,1,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I007",0,0,1,,0,,0,62
"189","Autres dettes",1,1,0,1,0,"C",0,0,1,1,1,0,"Investissement","Recettes Externes","I007",0,0,1,,0,,0,63
"19","PROVISIONS POUR RISQUES ET CHARGES",0,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I008",0,0,1,,0,,0,64
"191","Provisions pour risques",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I008",0,0,1,,0,,0,65
"192","Provisions pour charges à repartir sur plusieurs exercices",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I008",0,0,1,,0,,0,66
"199","Autres provisions pour risques et charges",1,0,0,1,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I008",0,0,1,,0,,0,67
"20","CHARGES IMMOBILISÉES",0,0,0,0,0,"D",0,0,1,0,1,0,"Investissement","NonApplicable","I009",0,0,0,,0,,0,68
"201","Frais d'établissement",1,0,1,0,1,"D",0,0,1,0,1,0,"Investissement","NonApplicable","I009",0,0,0,,0,,0,68
"202","Primes de remboursement des obligations",1,0,1,0,1,"D",0,0,1,0,1,0,"Investissement","NonApplicable","I009",0,0,0,,0,,0,69
"209","Autres charges immobilisées",1,0,1,0,1,"D",0,0,1,0,1,0,"Investissement","NonApplicable","I009",0,0,0,,0,,0,70
"21","IMMOBILISATIONS INCORPORELLES",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,71
"211","Frais de recherches et de développement",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,72
"212","Brevets, licences, concessions et droits",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,73
"213","Logiciels",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,74
"214","Marques",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,75
"215","Droit au bail",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,76
"216","Autres droits et valeurs incorporelles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,77
"218","Immobilisations incorporelles en cours",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,78
"219","Autres immobilisations incorporelles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I010",0,0,1,,0,,0,79
"22","ACQUISITIONS ET AMENAGEMENTS DES SOLS ET SOUS-SOLS",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,80
"221","Terrains",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,81
"222","Sous-sols, gisements et carrières",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,82
"223","Plantations et forêts",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,83
"224","Plan d'eau",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,84
"225","Aménagement des terrains en cours",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,85
"2250","Aménagement des bas-fonds agricoles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,86
"2251","Aménagement de plaines agricoles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,87
"2252","Aménagement des aires de stationnement ou de repos",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,88
"2253","Aménagement des terrains de sport",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,89
"2254","Aménagement des parcs, jardins et espaces verts",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,90
"2259","Autres aménagements des terrains en cours",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,91
"226","Aménagement des sous-sols en cours",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,92
"227","Terrains mis en concession",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,93
"229","Autres acquisitions et aménagements des sols et sous-sols",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I011",0,0,1,,0,,0,94
"23","ACQUISITIONS,CONSTRUCTIONS ET GROSSES REPARATIONS DES IMMEUBLES",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,95
"231","Bâtiments administratifs à usage de bureau",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,96
"232","Bâtiments administratifs à usage de logement",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,97
"233","Bâtiments administratifs à usage technique",0,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,98
"2330","Bâtiments administratifs à usage scolaire",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,99
"2331","Bâtiments administratifs à usage médical",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,100
"2332","Bâtiments administratifs à usage commercial",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,101
"2333","Bâtiments administratifs à usage d'entrepôts",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,102
"2334","Bâtiments administratifs à usage culturel",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,103
"2335","Bâtiments administratifs à usage sportif",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,104
"2339","Autres bâtiments administratifs à usage technique",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,105
"234","Ouvrages",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,106
"2340","Forages",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,107
"2341","Adduction d'eau potable",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,108
"2342","Barrages et digues",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,109
"2343","Pistes, voiries et réseaux",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,110
"2344","Ponts et radiers",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,111
"2345","Ouvrages d'art",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,112
"2349","Autres ouvrages",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,113
"235","Infrastructures",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,114
"2350","Bas-fonds agricoles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,115
"2351","Plaines agricoles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,116
"2352","Aires de stationnement ou de repos",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,117
"2353","Terrains de sport",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,118
"2354","Parcs, jardins et espaces verts",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,119
"2355","Parcs de vaccination",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,120
"2356","Abattoirs",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,121
"2357","Cimetières",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,122
"2358","Marchés",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,123
"2359","Autres infrastructures",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,124
"236","Réseaux informatiques",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,125
"239","Autres acquisitions, constructions et grosses réparations des immeubles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I012",0,0,1,,0,,0,126
"24","ACQUISITIONS ET GROSSES REPARATIONS DU MATERIEL ET MOBILIER",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,127
"241","Matériel et mobilier de bureau et de logement",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,128
"2410","Matériel et mobilier de bureau",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,129
"2411","Matériel et mobilier de logement",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,130
"242","Matériel informatique de bureau",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,131
"243","Matériel de transport de service et de fonction",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,132
"2430","Matériel de transport de service",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,133
"2431","Matériel de transport de fonction",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,134
"244","Matériel et outillage technique",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,135
"2440","Matériel et outillage médical",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,136
"2441","Matériel et outillage scolaire",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,137
"2442","Matériel et outillage agricole",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,138
"2443","Matériel et outillage de police",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,139
"2444","Matériel et outillage de génie civil",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,140
"2445","Matériel et outillage des sapeurs-pompiers",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,141
"2449","Autres matériels et outillages",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,142
"245","Matériel de transport en commun et de marchandises",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,143
"2450","Matériel de transport en commun",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,144
"2451","Matériel de transport de marchandises",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,145
"246","Collections et œuvres d'art",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,146
"2460","Collections",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,147
"2461","Œuvre d’art",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,148
"248","Cheptel",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,149
"249","Autres acquisitions et grosses réparations du matériel et mobilier",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I013",0,0,1,,0,,0,150
"26","PRISES DE PARTICIPATION, DEPOTS ET CAUTIONNEMENTS",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I014",0,0,1,,0,,0,151
"261","Prises de participations à l'intérieur",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I014",0,0,1,,0,,0,152
"262","Prises de participations à l'extérieur",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I014",0,0,1,,0,,0,153
"263","Part dans les associations, syndicats et organismes publics",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I014",0,0,1,,0,,0,154
"264","Dépôts et cautionnements versés",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I014",0,0,1,,0,,0,155
"266","Titres déposés en nantissement",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I014",0,0,1,,0,,0,156
"269","Autres prises de participations",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I014",0,0,1,,0,,0,157
"27","PRETS, CREANCES, AVANCES ET ACOMPTES",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I015",0,0,1,,0,,0,158
"271","Prêts, créances et avances",0,0,0,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I015",0,0,1,,0,,0,159
"2710","Prêts",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I015",0,0,1,,0,,0,160
"2711","Créances",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I015",0,0,1,,0,,0,161
"2712","Avances consolidées en prêts",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I015",0,0,1,,0,,0,162
"272","Avances et acomptes versés sur immobilisations incorporelles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I015",0,0,1,,0,,0,163
"273","Avances et acomptes versés sur immobilisations corporelles",1,0,1,0,1,"D",0,0,1,1,1,0,"Investissement","Recettes Externes","I015",0,0,1,,0,,0,164
"28","AMORTISSEMENTS",0,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,165
"281","Amortissements des immobilisations incorporelles",0,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,166
"2810","Amortissements des frais de recherches et de développement",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,167
"2811","Amortissements des brevets, licences, concessions et droits",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,168
"2812","Amortissements des logiciels",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,169
"2813","Amortissements des marques",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,170
"2814","Amortissements du droit au bail",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,171
"2815","Amortissement des autres droits et valeurs incorporelles",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,172
"2819","Amortissements des autres immobilisations incorporelles",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,173
"282","Amortissements des immobilisations corporelles",0,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,174
"2820","Amortissements des sous-sols, gisements et carrières",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,175
"2821","Amortissements des plantations et forêts",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,176
"2822","Amortissements des bâtiments",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,177
"2823","Amortissements des ouvrages",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,178
"2824","Amortissements des infrastructures",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,179
"2825","Amortissements de l'outillage, du matériel et du mobilier",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,180
"2826","Amortissements du matériel de transport",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,181
"2827","Amortissements du matériel informatique",1,0,0,0,0,"C",0,0,1,1,0,0,"Investissement","Recettes Externes","I016",0,0,1,,0,,0,182
